ads,start_date,user_id,likes,views,ctr,gender,os,age
new_ads,2025-12-04,40915,5,30,0.1667,1,Android,29
new_ads,2025-12-04,45721,8,38,0.2105,1,iOS,45
new_ads,2025-12-04,42782,1,21,0.0476,1,Android,41
old_ads,2025-11-13,19070,23,130,0.1769,1,Android,34
new_ads,2025-12-04,39989,15,70,0.2143,1,Android,31
old_ads,2025-11-20,24711,16,114,0.1404,1,Android,27
new_ads,2025-12-04,38908,57,225,0.2533,0,Android,19
new_ads,2025-12-04,37846,32,134,0.2388,0,Android,16
new_ads,2025-12-04,43752,5,35,0.1429,1,Android,24
new_ads,2025-12-04,46421,7,28,0.25,0,iOS,36
old_ads,2025-11-13,673,1,16,0.0625,0,Android,26
old_ads,2025-11-13,12374,19,57,0.3333,1,Android,17
old_ads,2025-11-13,20052,22,109,0.2018,1,iOS,37
old_ads,2025-11-20,25950,23,144,0.1597,1,iOS,26
new_ads,2025-12-04,39434,12,33,0.3636,1,Android,38
old_ads,2025-11-13,19521,28,122,0.2295,1,Android,23
old_ads,2025-11-20,24454,39,188,0.2074,1,iOS,44
old_ads,2025-11-13,14730,20,120,0.1667,1,Android,44
new_ads,2025-12-04,43261,15,43,0.3488,0,Android,14
old_ads,2025-11-13,18798,45,235,0.1915,0,Android,41
old_ads,2025-11-20,25495,58,236,0.2458,1,iOS,42
new_ads,2025-12-04,42984,13,41,0.3171,1,Android,29
new_ads,2025-12-04,44498,21,92,0.2283,0,Android,29
old_ads,2025-11-13,19323,11,70,0.1571,1,Android,25
old_ads,2025-11-20,24689,79,230,0.3435,1,Android,23
new_ads,2025-12-04,41998,2,16,0.125,1,Android,20
old_ads,2025-11-20,25691,48,211,0.2275,1,Android,18
old_ads,2025-11-06,5324,32,128,0.25,1,Android,34
old_ads,2025-11-20,21689,20,70,0.2857,0,Android,28
old_ads,2025-11-06,12713,33,166,0.1988,1,Android,18
old_ads,2025-11-20,26557,20,72,0.2778,1,Android,21
new_ads,2025-12-04,39676,5,30,0.1667,0,Android,24
new_ads,2025-12-04,43019,7,17,0.4118,1,Android,47
new_ads,2025-12-04,41521,10,22,0.4545,1,Android,32
old_ads,2025-11-06,9693,53,215,0.2465,0,Android,34
old_ads,2025-11-20,25211,33,177,0.1864,1,iOS,25
new_ads,2025-12-04,42500,6,55,0.1091,1,Android,29
old_ads,2025-11-13,18801,8,14,0.5714,0,iOS,31
new_ads,2025-12-04,44493,10,58,0.1724,1,Android,20
new_ads,2025-12-04,45680,18,48,0.375,1,Android,48
new_ads,2025-12-04,40649,13,38,0.3421,1,Android,19
old_ads,2025-11-13,19095,26,92,0.2826,0,Android,23
old_ads,2025-11-13,16557,12,74,0.1622,1,Android,33
old_ads,2025-11-27,28838,12,56,0.2143,0,Android,23
new_ads,2025-12-04,40239,2,14,0.1429,1,iOS,21
new_ads,2025-12-04,44587,23,71,0.3239,1,Android,29
old_ads,2025-11-06,5408,9,46,0.1957,1,iOS,19
old_ads,2025-11-13,12479,42,172,0.2442,1,Android,30
new_ads,2025-12-04,39158,4,32,0.125,0,Android,40
old_ads,2025-11-13,19624,22,139,0.1583,1,iOS,32
new_ads,2025-12-04,39651,5,18,0.2778,1,Android,48
new_ads,2025-12-04,46682,10,31,0.3226,0,Android,33
old_ads,2025-11-20,26193,32,183,0.1749,0,Android,21
new_ads,2025-12-04,39696,5,16,0.3125,1,Android,22
old_ads,2025-11-06,12280,18,109,0.1651,1,iOS,44
old_ads,2025-11-06,12357,49,149,0.3289,1,iOS,28
old_ads,2025-11-13,18823,21,138,0.1522,1,iOS,21
old_ads,2025-11-13,14213,23,94,0.2447,1,iOS,60
old_ads,2025-11-06,8429,36,177,0.2034,1,Android,32
new_ads,2025-12-04,40511,15,84,0.1786,1,iOS,51
old_ads,2025-11-27,26562,21,78,0.2692,1,Android,39
old_ads,2025-11-06,10967,20,124,0.1613,0,Android,48
new_ads,2025-12-04,38416,53,305,0.1738,1,Android,21
old_ads,2025-11-13,19041,48,152,0.3158,1,iOS,42
new_ads,2025-12-04,42260,17,48,0.3542,1,iOS,19
old_ads,2025-11-06,10545,14,72,0.1944,1,Android,34
new_ads,2025-12-04,40409,5,23,0.2174,1,Android,22
old_ads,2025-11-13,19346,35,123,0.2846,1,iOS,41
new_ads,2025-12-04,39411,15,78,0.1923,0,Android,15
old_ads,2025-11-27,33348,36,157,0.2293,0,Android,29
new_ads,2025-12-04,46410,8,42,0.1905,1,Android,17
new_ads,2025-12-04,37434,74,485,0.1526,1,iOS,21
old_ads,2025-11-06,12608,39,74,0.527,1,Android,18
new_ads,2025-12-04,41771,6,26,0.2308,1,Android,18
old_ads,2025-11-20,26452,48,227,0.2115,1,Android,33
old_ads,2025-11-06,12046,16,62,0.2581,0,iOS,50
new_ads,2025-12-04,43234,7,44,0.1591,1,Android,31
old_ads,2025-11-27,32166,32,160,0.2,0,Android,26
old_ads,2025-11-27,32849,35,186,0.1882,0,Android,28
new_ads,2025-12-04,33883,52,310,0.1677,0,Android,23
old_ads,2025-11-20,26279,43,177,0.2429,1,Android,21
new_ads,2025-12-04,44293,6,14,0.4286,0,iOS,31
old_ads,2025-11-27,6654,15,58,0.2586,0,Android,29
new_ads,2025-12-04,40946,17,46,0.3696,1,Android,22
new_ads,2025-12-04,38344,43,231,0.1861,1,Android,18
new_ads,2025-12-04,44771,12,70,0.1714,1,Android,16
new_ads,2025-12-04,40423,9,43,0.2093,0,Android,18
new_ads,2025-12-04,44816,3,16,0.1875,1,Android,39
old_ads,2025-11-20,24917,33,124,0.2661,0,Android,17
new_ads,2025-12-04,39956,4,36,0.1111,1,Android,39
old_ads,2025-11-06,9964,12,54,0.2222,1,Android,36
old_ads,2025-11-06,11478,19,71,0.2676,0,Android,40
old_ads,2025-11-06,7713,8,31,0.2581,0,Android,27
old_ads,2025-11-20,25740,19,91,0.2088,0,iOS,20
old_ads,2025-11-27,33402,100,308,0.3247,0,Android,27
old_ads,2025-11-06,12429,38,161,0.236,0,iOS,32
old_ads,2025-11-06,12080,13,80,0.1625,1,iOS,25
new_ads,2025-12-04,43228,10,36,0.2778,0,Android,17
new_ads,2025-12-04,39896,8,14,0.5714,1,Android,44
old_ads,2025-11-20,26265,20,113,0.177,1,Android,26
old_ads,2025-11-13,19552,46,260,0.1769,0,Android,27
old_ads,2025-11-20,25883,50,269,0.1859,1,Android,23
new_ads,2025-12-04,46352,8,22,0.3636,1,iOS,18
new_ads,2025-12-04,39868,8,32,0.25,1,Android,21
new_ads,2025-12-04,43192,3,17,0.1765,1,iOS,21
old_ads,2025-11-06,12116,9,40,0.225,0,Android,14
old_ads,2025-11-06,12521,27,101,0.2673,0,Android,23
old_ads,2025-11-13,19460,7,52,0.1346,1,Android,19
old_ads,2025-11-06,7587,23,127,0.1811,1,iOS,21
old_ads,2025-11-20,26382,41,219,0.1872,0,iOS,32
new_ads,2025-12-04,46838,12,35,0.3429,0,Android,29
old_ads,2025-11-06,12570,41,154,0.2662,0,Android,43
new_ads,2025-12-04,44385,2,28,0.0714,1,Android,22
old_ads,2025-11-06,5043,10,64,0.1562,1,iOS,37
old_ads,2025-11-20,106996,7,47,0.1489,1,iOS,23
old_ads,2025-11-20,25380,1,18,0.0556,0,Android,56
old_ads,2025-11-13,17383,46,178,0.2584,0,iOS,29
old_ads,2025-11-13,19400,6,38,0.1579,0,Android,18
new_ads,2025-12-04,40323,11,47,0.234,1,iOS,15
new_ads,2025-12-04,42173,5,18,0.2778,0,iOS,21
new_ads,2025-12-04,45370,20,88,0.2273,1,iOS,23
new_ads,2025-12-04,42318,9,32,0.2812,0,Android,35
old_ads,2025-11-06,6642,5,20,0.25,1,iOS,29
old_ads,2025-11-13,18854,27,82,0.3293,1,iOS,25
new_ads,2025-12-04,42707,2,12,0.1667,1,Android,24
new_ads,2025-12-04,42182,8,53,0.1509,1,iOS,35
new_ads,2025-12-04,40440,5,24,0.2083,1,Android,25
old_ads,2025-11-13,19379,13,69,0.1884,1,Android,22
old_ads,2025-11-13,13745,18,63,0.2857,1,iOS,20
old_ads,2025-11-06,10512,24,155,0.1548,0,Android,34
old_ads,2025-11-13,19008,16,107,0.1495,0,Android,34
new_ads,2025-12-04,39947,7,29,0.2414,0,Android,23
old_ads,2025-11-13,12392,2,14,0.1429,1,Android,17
old_ads,2025-11-13,14930,32,137,0.2336,0,iOS,23
old_ads,2025-11-20,25952,37,141,0.2624,1,Android,26
new_ads,2025-12-04,46443,22,53,0.4151,0,Android,30
new_ads,2025-12-04,34415,23,97,0.2371,1,iOS,48
old_ads,2025-11-06,12079,30,106,0.283,1,Android,24
new_ads,2025-12-04,46974,0,8,0.0,1,Android,25
new_ads,2025-12-04,39476,4,38,0.1053,1,iOS,22
old_ads,2025-11-13,19583,32,165,0.1939,0,Android,22
new_ads,2025-12-04,40680,21,86,0.2442,1,Android,18
old_ads,2025-11-20,23191,27,180,0.15,1,Android,33
new_ads,2025-12-04,38098,36,233,0.1545,0,iOS,28
old_ads,2025-11-20,20240,22,95,0.2316,0,Android,35
old_ads,2025-11-06,3203,36,197,0.1827,0,Android,21
old_ads,2025-11-06,11251,12,100,0.12,0,Android,15
old_ads,2025-11-20,26720,22,131,0.1679,1,iOS,20
old_ads,2025-11-06,10726,43,234,0.1838,0,Android,51
old_ads,2025-11-13,19269,2,15,0.1333,1,Android,21
old_ads,2025-11-27,28807,70,318,0.2201,1,iOS,20
new_ads,2025-12-04,38599,64,198,0.3232,1,Android,18
new_ads,2025-12-04,40189,10,37,0.2703,1,Android,21
old_ads,2025-11-13,19126,15,71,0.2113,0,iOS,19
old_ads,2025-11-27,33427,16,69,0.2319,1,Android,31
new_ads,2025-12-04,43552,5,34,0.1471,0,iOS,17
old_ads,2025-11-06,5863,5,28,0.1786,0,Android,39
old_ads,2025-11-06,2394,12,69,0.1739,1,Android,29
old_ads,2025-11-06,12249,38,194,0.1959,1,iOS,25
old_ads,2025-11-20,26224,17,63,0.2698,0,Android,33
new_ads,2025-12-04,39729,12,72,0.1667,0,iOS,15
new_ads,2025-12-04,43462,7,34,0.2059,0,Android,16
new_ads,2025-12-04,46715,6,29,0.2069,0,iOS,19
old_ads,2025-11-06,11818,15,72,0.2083,1,Android,18
old_ads,2025-11-13,19593,33,208,0.1587,0,Android,28
old_ads,2025-11-20,26499,32,150,0.2133,0,iOS,47
new_ads,2025-12-04,46090,7,34,0.2059,0,iOS,30
old_ads,2025-11-20,26098,16,125,0.128,0,Android,34
old_ads,2025-11-13,19742,36,135,0.2667,1,Android,21
old_ads,2025-11-20,26132,46,234,0.1966,1,Android,25
old_ads,2025-11-06,12288,11,47,0.234,0,iOS,37
old_ads,2025-11-06,5763,13,57,0.2281,0,Android,32
new_ads,2025-12-04,39590,16,51,0.3137,0,iOS,23
old_ads,2025-11-06,11854,44,267,0.1648,1,iOS,23
old_ads,2025-11-06,12787,27,122,0.2213,1,Android,22
new_ads,2025-12-04,46623,3,23,0.1304,0,Android,16
old_ads,2025-11-06,6000,30,128,0.2344,1,iOS,23
old_ads,2025-11-20,26628,22,125,0.176,0,Android,42
new_ads,2025-12-04,40831,15,71,0.2113,0,iOS,30
new_ads,2025-12-04,44654,4,41,0.0976,1,Android,23
old_ads,2025-11-20,21295,39,219,0.1781,0,Android,58
old_ads,2025-11-13,19154,23,136,0.1691,1,iOS,19
new_ads,2025-12-04,42407,6,23,0.2609,1,Android,20
new_ads,2025-12-04,40089,10,65,0.1538,0,Android,18
old_ads,2025-11-20,26093,29,131,0.2214,0,iOS,30
new_ads,2025-12-04,43944,5,6,0.8333,1,Android,38
old_ads,2025-11-20,25630,49,204,0.2402,0,iOS,41
new_ads,2025-12-04,41057,16,90,0.1778,0,iOS,18
old_ads,2025-11-27,19483,30,145,0.2069,0,Android,16
old_ads,2025-11-06,12810,14,55,0.2545,1,iOS,26
old_ads,2025-11-06,12194,48,218,0.2202,1,iOS,36
new_ads,2025-12-04,39754,19,47,0.4043,1,Android,16
new_ads,2025-12-04,41588,3,27,0.1111,0,Android,18
old_ads,2025-11-06,744,43,148,0.2905,1,iOS,15
old_ads,2025-11-27,33038,20,82,0.2439,0,Android,18
new_ads,2025-12-04,42925,15,37,0.4054,0,iOS,17
new_ads,2025-12-04,44657,14,49,0.2857,1,Android,26
new_ads,2025-12-04,44930,6,40,0.15,0,Android,18
old_ads,2025-11-13,19149,11,75,0.1467,1,Android,28
old_ads,2025-11-06,8788,42,256,0.1641,1,iOS,16
new_ads,2025-12-04,42149,25,89,0.2809,1,Android,56
new_ads,2025-12-04,35311,26,117,0.2222,1,Android,21
new_ads,2025-12-04,40573,13,41,0.3171,0,iOS,38
old_ads,2025-11-20,25404,15,87,0.1724,0,Android,23
old_ads,2025-11-06,10901,41,184,0.2228,1,Android,34
new_ads,2025-12-04,45764,11,35,0.3143,0,Android,30
old_ads,2025-11-13,18885,36,189,0.1905,1,Android,29
new_ads,2025-12-04,42672,8,34,0.2353,0,iOS,22
old_ads,2025-11-20,7373,20,132,0.1515,0,iOS,27
old_ads,2025-11-06,12529,16,82,0.1951,0,Android,50
old_ads,2025-11-06,12108,21,119,0.1765,1,iOS,22
old_ads,2025-11-27,32787,40,249,0.1606,1,Android,23
new_ads,2025-12-04,39844,13,46,0.2826,1,Android,23
old_ads,2025-11-20,24539,36,162,0.2222,0,Android,16
old_ads,2025-11-27,27024,29,147,0.1973,0,Android,24
old_ads,2025-11-27,33248,12,69,0.1739,1,iOS,29
old_ads,2025-11-20,25859,18,67,0.2687,0,iOS,29
new_ads,2025-12-04,41103,6,29,0.2069,1,Android,23
old_ads,2025-11-06,12426,25,149,0.1678,0,iOS,19
old_ads,2025-11-06,11972,13,66,0.197,0,Android,22
old_ads,2025-11-13,19559,39,207,0.1884,0,iOS,16
new_ads,2025-12-04,39468,3,13,0.2308,1,iOS,22
new_ads,2025-12-04,41746,21,60,0.35,1,iOS,17
new_ads,2025-12-04,38969,36,164,0.2195,0,Android,17
old_ads,2025-11-20,25976,27,133,0.203,1,Android,39
old_ads,2025-11-20,22140,24,101,0.2376,1,Android,21
new_ads,2025-12-04,43837,8,62,0.129,1,Android,18
old_ads,2025-11-06,2642,4,21,0.1905,0,Android,16
new_ads,2025-12-04,39370,8,44,0.1818,0,Android,27
new_ads,2025-12-04,40416,3,17,0.1765,0,Android,30
new_ads,2025-12-04,42285,6,30,0.2,1,Android,14
old_ads,2025-11-13,1886,24,105,0.2286,0,iOS,43
old_ads,2025-11-27,26094,14,103,0.1359,0,Android,23
new_ads,2025-12-04,42808,3,35,0.0857,1,Android,21
new_ads,2025-12-04,47237,1,14,0.0714,0,iOS,21
new_ads,2025-12-04,40454,13,42,0.3095,0,iOS,26
new_ads,2025-12-04,42699,8,52,0.1538,1,Android,17
new_ads,2025-12-04,40949,11,42,0.2619,0,Android,17
old_ads,2025-11-20,26766,15,75,0.2,0,Android,21
old_ads,2025-11-13,19257,14,86,0.1628,1,Android,15
new_ads,2025-12-04,40306,21,68,0.3088,1,iOS,27
new_ads,2025-12-04,40065,5,18,0.2778,0,Android,15
new_ads,2025-12-04,42922,5,17,0.2941,1,iOS,15
new_ads,2025-12-04,45613,15,42,0.3571,1,Android,23
old_ads,2025-11-20,19270,3,13,0.2308,0,iOS,17
old_ads,2025-11-06,11862,23,92,0.25,1,Android,26
old_ads,2025-11-06,106880,23,139,0.1655,1,iOS,25
old_ads,2025-11-27,27001,19,113,0.1681,1,Android,15
old_ads,2025-11-27,33033,44,179,0.2458,1,Android,33
new_ads,2025-12-04,39614,11,61,0.1803,1,iOS,47
new_ads,2025-12-04,46098,7,35,0.2,0,iOS,17
old_ads,2025-11-20,23847,33,166,0.1988,1,iOS,40
old_ads,2025-11-06,5262,36,114,0.3158,1,Android,35
old_ads,2025-11-20,26444,24,138,0.1739,1,Android,16
new_ads,2025-12-04,41779,16,53,0.3019,0,Android,24
old_ads,2025-11-06,12005,29,168,0.1726,1,Android,20
old_ads,2025-11-20,26303,18,74,0.2432,1,Android,37
new_ads,2025-12-04,43258,10,21,0.4762,1,Android,26
new_ads,2025-12-04,37841,23,145,0.1586,0,iOS,32
new_ads,2025-12-04,39403,5,31,0.1613,1,iOS,25
old_ads,2025-11-20,25770,32,144,0.2222,0,Android,19
new_ads,2025-12-04,41173,11,58,0.1897,1,Android,31
old_ads,2025-11-27,28166,63,281,0.2242,0,iOS,19
new_ads,2025-12-04,45933,4,23,0.1739,1,Android,17
old_ads,2025-11-13,18847,35,149,0.2349,0,iOS,30
new_ads,2025-12-04,45726,5,16,0.3125,0,Android,24
new_ads,2025-12-04,44323,7,36,0.1944,1,iOS,28
old_ads,2025-11-13,18540,50,171,0.2924,1,Android,36
new_ads,2025-12-04,47268,7,30,0.2333,1,iOS,44
new_ads,2025-12-04,40487,3,20,0.15,1,iOS,30
old_ads,2025-11-13,13558,1,11,0.0909,0,Android,17
new_ads,2025-12-04,44987,9,56,0.1607,1,Android,27
new_ads,2025-12-04,40127,5,16,0.3125,0,Android,22
old_ads,2025-11-13,19188,35,198,0.1768,1,Android,15
old_ads,2025-11-13,19207,55,214,0.257,0,Android,23
new_ads,2025-12-04,46048,11,47,0.234,1,Android,23
new_ads,2025-12-04,47145,0,20,0.0,1,Android,42
old_ads,2025-11-06,4988,12,67,0.1791,1,Android,40
old_ads,2025-11-06,11880,77,262,0.2939,1,iOS,35
old_ads,2025-11-13,13001,27,134,0.2015,0,Android,27
old_ads,2025-11-13,19659,31,116,0.2672,1,Android,18
old_ads,2025-11-20,26561,24,80,0.3,0,Android,32
old_ads,2025-11-13,18178,44,221,0.1991,1,Android,25
old_ads,2025-11-06,12187,59,200,0.295,1,Android,29
new_ads,2025-12-04,39795,16,62,0.2581,0,Android,20
new_ads,2025-12-04,41048,4,18,0.2222,0,Android,25
old_ads,2025-11-13,15125,43,153,0.281,1,iOS,38
new_ads,2025-12-04,43618,3,27,0.1111,1,Android,36
old_ads,2025-11-27,29980,66,254,0.2598,1,Android,23
old_ads,2025-11-06,8057,5,31,0.1613,0,Android,24
old_ads,2025-11-20,26068,48,237,0.2025,0,iOS,20
old_ads,2025-11-20,22224,33,213,0.1549,1,Android,22
old_ads,2025-11-20,26533,24,89,0.2697,1,iOS,30
new_ads,2025-12-04,39652,1,16,0.0625,1,Android,27
new_ads,2025-12-04,43488,15,45,0.3333,0,iOS,27
old_ads,2025-11-13,19804,30,181,0.1657,1,Android,16
old_ads,2025-11-20,26198,34,174,0.1954,1,Android,48
old_ads,2025-11-06,12354,11,70,0.1571,1,iOS,38
old_ads,2025-11-06,12287,13,51,0.2549,1,Android,59
new_ads,2025-12-04,44021,9,41,0.2195,1,iOS,25
new_ads,2025-12-04,41423,20,55,0.3636,1,Android,20
new_ads,2025-12-04,45023,23,83,0.2771,1,Android,26
new_ads,2025-12-04,40232,17,56,0.3036,1,Android,24
old_ads,2025-11-20,24681,58,274,0.2117,0,Android,23
old_ads,2025-11-13,19299,13,57,0.2281,1,Android,21
new_ads,2025-12-04,45457,4,15,0.2667,0,iOS,17
old_ads,2025-11-20,26694,17,85,0.2,0,iOS,41
old_ads,2025-11-13,18806,22,97,0.2268,1,Android,39
old_ads,2025-11-06,12098,15,68,0.2206,0,Android,17
new_ads,2025-12-04,43182,12,37,0.3243,1,Android,41
new_ads,2025-12-04,46867,10,78,0.1282,0,Android,30
old_ads,2025-11-06,2497,19,85,0.2235,1,iOS,28
new_ads,2025-12-04,39513,7,39,0.1795,0,iOS,19
old_ads,2025-11-13,19474,3,21,0.1429,0,Android,37
old_ads,2025-11-06,6031,6,73,0.0822,1,Android,28
new_ads,2025-12-04,46816,17,76,0.2237,1,Android,32
old_ads,2025-11-20,25869,27,187,0.1444,0,iOS,21
new_ads,2025-12-04,41330,21,64,0.3281,1,Android,23
old_ads,2025-11-06,10093,33,180,0.1833,1,Android,22
old_ads,2025-11-13,18989,30,170,0.1765,0,Android,28
new_ads,2025-12-04,45279,10,42,0.2381,1,Android,28
new_ads,2025-12-04,40563,4,20,0.2,1,Android,18
old_ads,2025-11-06,11112,15,81,0.1852,1,iOS,25
new_ads,2025-12-04,42686,3,18,0.1667,0,Android,30
old_ads,2025-11-20,23551,35,145,0.2414,1,Android,17
old_ads,2025-11-06,12512,13,40,0.325,1,Android,22
new_ads,2025-12-04,43185,5,16,0.3125,0,iOS,35
new_ads,2025-12-04,39861,7,18,0.3889,1,Android,51
old_ads,2025-11-06,12563,20,73,0.274,0,Android,24
old_ads,2025-11-06,11950,6,29,0.2069,0,Android,17
new_ads,2025-12-04,39494,7,42,0.1667,0,Android,34
old_ads,2025-11-20,26375,24,89,0.2697,1,iOS,21
new_ads,2025-12-04,41325,4,31,0.129,0,Android,52
old_ads,2025-11-20,25874,48,262,0.1832,1,Android,18
old_ads,2025-11-20,25825,37,187,0.1979,0,Android,35
new_ads,2025-12-04,41118,6,27,0.2222,0,iOS,28
old_ads,2025-11-06,10594,19,71,0.2676,0,Android,19
old_ads,2025-11-13,19393,50,258,0.1938,0,Android,22
new_ads,2025-12-04,44925,10,74,0.1351,1,Android,30
old_ads,2025-11-27,30764,24,135,0.1778,1,Android,39
old_ads,2025-11-27,26513,33,154,0.2143,1,Android,49
new_ads,2025-12-04,45781,7,32,0.2188,1,iOS,20
new_ads,2025-12-04,40863,12,53,0.2264,1,iOS,18
old_ads,2025-11-13,19653,26,119,0.2185,1,Android,24
old_ads,2025-11-20,26575,32,134,0.2388,0,Android,16
old_ads,2025-11-06,12763,15,82,0.1829,1,Android,33
old_ads,2025-11-06,9647,19,119,0.1597,1,iOS,17
old_ads,2025-11-13,19766,55,246,0.2236,0,iOS,20
new_ads,2025-12-04,47044,3,34,0.0882,1,Android,15
old_ads,2025-11-06,12181,60,191,0.3141,0,Android,20
old_ads,2025-11-06,12328,39,141,0.2766,0,Android,15
old_ads,2025-11-27,19500,6,17,0.3529,0,Android,15
old_ads,2025-11-20,25641,33,105,0.3143,1,iOS,28
new_ads,2025-12-04,39272,7,31,0.2258,0,Android,25
new_ads,2025-12-04,41381,18,44,0.4091,0,Android,19
old_ads,2025-11-20,26074,12,108,0.1111,1,Android,21
new_ads,2025-12-04,40113,9,34,0.2647,0,Android,22
new_ads,2025-12-04,42108,9,59,0.1525,1,Android,15
new_ads,2025-12-04,45563,13,35,0.3714,1,Android,18
old_ads,2025-11-20,26668,50,256,0.1953,1,Android,21
new_ads,2025-12-04,40791,6,64,0.0938,0,Android,17
new_ads,2025-12-04,44448,1,24,0.0417,1,Android,42
new_ads,2025-12-04,45597,8,39,0.2051,1,Android,32
new_ads,2025-12-04,40612,8,41,0.1951,0,iOS,22
